stop_id,stop_name,stop_lon,stop_lat
shp_23-0-1,stop shp_23-0-1,32.51644537287973,15.59866972525447
shp_240-0-0,stop shp_240-0-0,32.40952404365784,15.614653199962234
shp_240-0-1,stop shp_240-0-1,32.52041879865524,15.595028000065986
shp_242-0-0,stop shp_242-0-0,32.52035235436935,15.594368468907318
shp_242-0-1,stop shp_242-0-1,32.41870386496548,15.62460973561682
shp_246-0-0,stop shp_246-0-0,32.47679818877801,15.646139736658863
shp_246-0-1,stop shp_246-0-1,32.4384211944783,15.656799193278236
shp_248-0-0,stop shp_248-0-0,32.441309059172724,15.683411625287505
shp_248-0-1,stop shp_248-0-1,32.476863485423486,15.64607516443436
shp_25-0-1,stop shp_25-0-1,32.47714096509583,15.646474142651655
shp_250-0-0,stop shp_250-0-0,32.43746844998735,15.67539290504051
