stop_id,stop_name,stop_lon,stop_lat
shp_30-0-1,stop shp_30-0-1,32.49,15.64
shp_304-0-0,stop shp_304-0-0,32.59,15.77
shp_306-0-0,stop shp_306-0-0,32.57,15.75
shp_308-0-0,stop shp_308-0-0,32.56,15.86
shp_310-0-0,stop shp_310-0-0,32.59,16.02
shp_312-0-0,stop shp_312-0-0,32.6,16.06
shp_316-0-0,stop shp_316-0-0,32.67,16.18
shp_317-0-0,stop shp_317-0-0,32.55,15.71
shp_319-0-0,stop shp_319-0-0,32.66,16.16
shp_322-0-0,stop shp_322-0-0,32.69,16.21
shp_328-0-0,stop shp_328-0-0,32.59,15.72
shp_334-0-0,stop shp_334-0-0,32.55,15.67
shp_337-0-1,stop shp_337-0-1,32.56,15.63
shp_340-0-1,stop shp_340-0-1,32.58,15.7
shp_342-0-0,stop shp_342-0-0,32.58,15.74
shp_344-0-0,stop shp_344-0-0,32.55,15.68
shp_346-0-1,stop shp_346-0-1,32.54,15.68
shp_348-0-1,stop shp_348-0-1,32.62,15.7
shp_349-0-1,stop shp_349-0-1,32.58,15.67
shp_356-0-1,stop shp_356-0-1,32.64,15.7
shp_357-0-1,stop shp_357-0-1,32.5,15.24
shp_36-0-0,stop shp_36-0-0,32.51,15.67
shp_361-0-0,stop shp_361-0-0,32.55,15.49
shp_365-0-0,stop shp_365-0-0,32.62,15.5
shp_369-0-1,stop shp_369-0-1,32.58,15.5
shp_37-0-0,stop shp_37-0-0,32.47,15.63
shp_371-0-0,stop shp_371-0-0,32.78,15.34
shp_371-0-1,stop shp_371-0-1,32.55,15.53
shp_375-0-0,stop shp_375-0-0,32.69,15.47
shp_376-0-1,stop shp_376-0-1,32.58,15.58
shp_381-0-1,stop shp_381-0-1,32.59,15.49
shp_384-0-1,stop shp_384-0-1,32.53,15.22
shp_392-0-1,stop shp_392-0-1,32.51,15.43
shp_395-0-1,stop shp_395-0-1,32.51,15.45
shp_396-0-1,stop shp_396-0-1,32.47,15.45
shp_401-0-0,stop shp_401-0-0,32.46,15.45
shp_404-0-1,stop shp_404-0-1,32.48,15.47
shp_405-0-0,stop shp_405-0-0,32.5,15.46
shp_424-0-0,stop shp_424-0-0,32.5,15.42
shp_425-0-1,stop shp_425-0-1,32.51,15.38
shp_426-0-0,stop shp_426-0-0,32.54,15.48
shp_427-0-0,stop shp_427-0-0,32.47,15.47
