stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
shp_333-0-1,,stop shp_333-0-1,,15.623128,32.530504,,,,,,,
shp_337-0-1,,stop shp_337-0-1,,15.631802,32.555402,,,,,,,
shp_339-0-0,,stop shp_339-0-0,,15.623105,32.531484,,,,,,,
shp_339-0-1,,stop shp_339-0-1,,15.694836,32.578133,,,,,,,
shp_341-0-1,,stop shp_341-0-1,,15.623183,32.530566,,,,,,,
shp_343-0-0,,stop shp_343-0-0,,15.678441,32.553793,,,,,,,
shp_343-0-1,,stop shp_343-0-1,,15.623128,32.530504,,,,,,,
shp_345-0-0,,stop shp_345-0-0,,15.623126,32.530522,,,,,,,
shp_345-0-1,,stop shp_345-0-1,,15.682000,32.543196,,,,,,,
shp_347-0-0,,stop shp_347-0-0,,15.623126,32.530522,,,,,,,
shp_349-0-0,,stop shp_349-0-0,,15.622452,32.528374,,,,,,,
shp_349-0-1,,stop shp_349-0-1,,15.673097,32.575148,,,,,,,
shp_35-0-1,,stop shp_35-0-1,,15.645389,32.488480,,,,,,,
shp_350-0-0,,stop shp_350-0-0,,15.673099,32.575054,,,,,,,
shp_350-0-1,,stop shp_350-0-1,,15.631793,32.555405,,,,,,,
shp_353-0-0,,stop shp_353-0-0,,15.623126,32.530522,,,,,,,
shp_353-0-1,,stop shp_353-0-1,,15.717649,32.589500,,,,,,,
shp_355-0-0,,stop shp_355-0-0,,15.623126,32.530522,,,,,,,
shp_357-0-0,,stop shp_357-0-0,,15.594873,32.521831,,,,,,,
shp_357-0-1,,stop shp_357-0-1,,15.241936,32.501238,,,,,,,
shp_361-0-0,,stop shp_361-0-0,,15.490485,32.550427,,,,,,,
shp_361-0-1,,stop shp_361-0-1,,15.592934,32.523215,,,,,,,
shp_365-0-0,,stop shp_365-0-0,,15.500828,32.615291,,,,,,,
shp_365-0-1,,stop shp_365-0-1,,15.592934,32.523215,,,,,,,
