route_short_name,route_long_name,route_type,route_id
SHR_77,SHR_77,3,rSHR_77
SHR_82,SHR_82,3,rSHR_82
SHR_84,SHR_84,3,rSHR_84
SHR_85,SHR_85,3,rSHR_85
SHR_88,SHR_88,3,rSHR_88
SHR_90,SHR_90,3,rSHR_90
SHR_92,SHR_92,3,rSHR_92
Omd_01,Omd_01,3,rOmd_01
Omd_02,Omd_02,3,rOmd_02
Omd_03,Omd_03,3,rOmd_03
Omd_09,Omd_09,3,rOmd_09
Omd_11,Omd_11,3,rOmd_11
Omd_12,Omd_12,3,rOmd_12
Omd_17,Omd_17,3,rOmd_17
Omd_18,Omd_18,3,rOmd_18
Omd_20,Omd_20,3,rOmd_20
Omd_21,Omd_21,3,rOmd_21
Omd_22,Omd_22,3,rOmd_22
Omd_24,Omd_24,3,rOmd_24
Omd_26,Omd_26,3,rOmd_26
Omd_29,Omd_29,3,rOmd_29
Omd_34,Omd_34,3,rOmd_34
Omd_36,Omd_36,3,rOmd_36
Omd_37,Omd_37,3,rOmd_37
Omd_39,Omd_39,3,rOmd_39
Omd_43,Omd_43,3,rOmd_43
Omd_44,Omd_44,3,rOmd_44
Omd_45,Omd_45,3,rOmd_45
Omd_48,Omd_48,3,rOmd_48
Omd_50,Omd_50,3,rOmd_50
Omd_51,Omd_51,3,rOmd_51
Omd_54,Omd_54,3,rOmd_54
Kar_02,Kar_02,3,rKar_02
Kar_03,Kar_03,3,rKar_03
Kar_05,Kar_05,3,rKar_05
Kar_09,Kar_09,3,rKar_09
Kar_10,Kar_10,3,rKar_10
Kar_11,Kar_11,3,rKar_11
Kar_12,Kar_12,3,rKar_12
Kar_13,Kar_13,3,rKar_13
Kar_16,Kar_16,3,rKar_16
Kar_20,Kar_20,3,rKar_20
Kar_21,Kar_21,3,rKar_21
Kar_22,Kar_22,3,rKar_22
Kar_24,Kar_24,3,rKar_24
Kar_25,Kar_25,3,rKar_25
Kar_26,Kar_26,3,rKar_26
Kar_28,Kar_28,3,rKar_28
Kar_29,Kar_29,3,rKar_29
Kar_30,Kar_30,3,rKar_30
Kar_33,Kar_33,3,rKar_33
Kar_35,Kar_35,3,rKar_35
Kar_36,Kar_36,3,rKar_36
Kar_37,Kar_37,3,rKar_37
Kar_38,Kar_38,3,rKar_38
Kar_40,Kar_40,3,rKar_40
Kar_42,Kar_42,3,rKar_42
Kar_43,Kar_43,3,rKar_43
Omb_01,Omb_01,3,rOmb_01
Omb_02,Omb_02,3,rOmb_02
Omb_03,Omb_03,3,rOmb_03
Omb_04,Omb_04,3,rOmb_04
Omb_05,Omb_05,3,rOmb_05
Omb_06,Omb_06,3,rOmb_06
Omb_09,Omb_09,3,rOmb_09
Omb_17,Omb_17,3,rOmb_17
Omb_18,Omb_18,3,rOmb_18
Omb_19,Omb_19,3,rOmb_19
Omb_20,Omb_20,3,rOmb_20
Omb_23,Omb_23,3,rOmb_23
Omb_24,Omb_24,3,rOmb_24
Omb_29,Omb_29,3,rOmb_29
Omb_32,Omb_32,3,rOmb_32
Omb_33,Omb_33,3,rOmb_33
Omb_36,Omb_36,3,rOmb_36
Omb_40,Omb_40,3,rOmb_40
Omb_41,Omb_41,3,rOmb_41
Omb_42,Omb_42,3,rOmb_42
Omb_43,Omb_43,3,rOmb_43
Omb_44,Omb_44,3,rOmb_44
Omb_45,Omb_45,3,rOmb_45
Omb_46,Omb_46,3,rOmb_46
Omb_47,Omb_47,3,rOmb_47
Omb_48,Omb_48,3,rOmb_48
Omb_49,Omb_49,3,rOmb_49
Omb_50,Omb_50,3,rOmb_50
Omb_51,Omb_51,3,rOmb_51
Omb_52,Omb_52,3,rOmb_52
Omb_54,Omb_54,3,rOmb_54
Omb_57,Omb_57,3,rOmb_57
Omb_58,Omb_58,3,rOmb_58
Omb_59,Omb_59,3,rOmb_59
